Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
BR-CST,ZL,2013,10,SA-Campbell CSAT-3,,Calculated from the data,1-5
BR-Npw,CH4,201401,20,GA_OP-LI-COR LI-7700,,,1-5
BR-Npw,CO2,201401,20,GA_OP-LI-COR LI-7500A,,,1-5
BR-Npw,FC,201401,20,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
BR-Npw,FC_PI_F,201401,20,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
BR-Npw,FCH4,201401,20,GA_OP-LI-COR LI-7700,SA-Young 81000,,1-5
BR-Npw,FCH4_PI_F,201401,20,GA_OP-LI-COR LI-7700,SA-Young 81000,,1-5
BR-Npw,G,,,SOIL_H-Plate,,Please add measurement depth,1-5
BR-Npw,H,201401,20,GA_OP-LI-COR LI-7500A,,,1-5
BR-Npw,H_PI_F,201401,20,GA_OP-LI-COR LI-7500A,,,1-5
BR-Npw,LE,201401,20,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
BR-Npw,LE_PI_F,201401,20,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
BR-Npw,LW_IN,201401,20,RAD-Other,,Please correct instrument model. The NR-LITE outputs net radiation only.,1-5
BR-Npw,LW_OUT,201401,20,RAD-Other,,Please correct instrument model. The NR-LITE outputs net radiation only.,1-5
BR-Npw,NETRAD,201401,20,RAD-Other,,,1-5
BR-Npw,P,201401,2,RAIN-Other,,,1-5
BR-Npw,PA,201401,20,RAIN-Other,,,1-5
BR-Npw,PPFD_IN,2014,20,RAD-PAR Quantum,,,1-5
BR-Npw,PPFD_OUT,2014,20,RAD-PAR Quantum,,,1-5
BR-Npw,RH,201401,20,RH-Other,,,1-5
BR-Npw,SW_IN,,20,,,Please instrument model,1-5
BR-Npw,SW_OUT,201401,20,RAD-Other,,Please correct instrument model. The NR-LITE outputs net radiation only.,1-5
BR-Npw,TA,201401,20,TEMP-Other,,,1-5
BR-Npw,TS_1_1_1,201401,-0.10,SWC-Other,,,1-5
BR-Npw,TS_1_2_1,201401,-0.20,SWC-Other,,,1-5
BR-Npw,TS_1_3_1,201401,-0.30,SWC-Other,,,1-5
BR-Npw,T_SONIC,201401,20,SA-Young 81000,,,1-5
BR-Npw,USTAR,201401,20,SA-Young 81000,,,1-5
BR-Npw,WD,201401,20,SA-Young 81000,,,1-5
BR-Npw,WS,201401,20,SA-Young 81000,,,1-5
BR-Npw,WTD,201401,-1.5,WTD-Other,,,1-5
BR-Sa1,CO2_1_1_1,,62.24,GA-Other,,,6-5
BR-Sa1,CO2_1_2_1,,57.9,GA-Other,,,6-5
BR-Sa1,FC,,57.9,GA-Other,SA-Campbell CSAT-3,,6-5
BR-Sa1,H,,57.9,SA-Campbell CSAT-3,,,6-5
BR-Sa1,H2O_1_2_1,,57.9,GA-Other,,,6-5
BR-Sa1,LE,,57.9,GA-Other,SA-Campbell CSAT-3,,6-5
BR-Sa1,NEE_PI,,57.9,GA-Other,SA-Campbell CSAT-3,,6-5
BR-Sa1,NETRAD,2008,66.8,RAD-Net radiometer,,NR-LITE2 Campbell Sci.,6-5
BR-Sa1,NETRAD,,66.8,RAD-Net radiometer,,Q-7.1 Delta-T (2002-2006),6-5
BR-Sa1,PA,,1,PRES-Other,,,6-5
BR-Sa1,PPFD_IN,2015,66.8,RAD-PAR Quantum,,LI190SB-L,6-5
BR-Sa1,PPFD_IN,,66.8,RAD-PAR Quantum,,LI-190SA (2001-2015),6-5
BR-Sa1,RECO_PI,,57.9,GA-Other,SA-Campbell CSAT-3,,6-5
BR-Sa1,RH,2015,57.8,RH-Other,,,6-5
BR-Sa1,RH,,57.8,RH-DewP,,Chilled mirror (2001-2006) ,6-5
BR-Sa1,SC,,62,GA-Other,,Measured at 62; 57; 39; 28; 18; 10; 3 and 0.6 m,6-5
BR-Sa1,TA_1_2_1,,57.8,TEMP-Other,,,6-5
BR-Sa1,USTAR,,57.9,SA-Campbell CSAT-3,,,6-5
BR-Sa1,VPD_PI,2015,57.8,RH-Other,,,6-5
BR-Sa1,VPD_PI,,57.8,RH-DewP,,Chilled mirror (2001-2006),6-5
BR-Sa1,WD,,57.9,SA-Campbell CSAT-3,,,6-5
BR-Sa1,WS,,57.9,SA-Campbell CSAT-3,,,6-5
BR-Sa3,CO2,,64,GA_CP-LI-COR LI-7000,,Li-Cor LI7000,3-5
BR-Sa3,FC,,64,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,3-5
BR-Sa3,G,,-0.1,SOIL_H-Plate,,REBS HFT 3.1,3-5
BR-Sa3,H,,64,SA-Campbell CSAT-3,,,3-5
BR-Sa3,H2O,,64,GA_OP-LI-COR LI-7500,,Li-Cor LI7500,3-5
BR-Sa3,LE,,64,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,Li-Cor LI7500,3-5
BR-Sa3,LW_IN,,64,RAD-LW Pyrgeom,,Kipp&Zonen CG2,3-5
BR-Sa3,LW_OUT,,64,RAD-LW Pyrgeom,,Kipp&Zonen CG2,3-5
BR-Sa3,NEE_PI,,64,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,3-5
BR-Sa3,NETRAD,,64,RAD-Net radiometer,,Rebs Q*7,3-5
BR-Sa3,P,,64,PREC-TipBucGauge,,Texas Electronics TE525,3-5
